tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-10-27 00:15:18,2024-10-27 00:35:45,1.0,3.7,186,140,21.2,3.5,0.5,1.0,31.4,2.5,1227.0,40.748497181405014,-73.9924375369761,40.76548408788984,-73.95473878380501
2024-10-27 00:15:27,2024-10-27 00:33:44,5.0,2.54,186,211,17.7,1.0,0.5,1.0,27.24,2.5,1097.0,40.748497181405014,-73.9924375369761,40.72388811004175,-74.00153756565635
2024-10-27 00:15:29,2024-10-27 00:34:23,1.0,3.43,186,209,19.1,1.0,0.5,1.0,28.92,2.5,1134.0,40.748497181405014,-73.9924375369761,40.709072742793076,-74.00366456329895
2024-10-27 00:15:33,2024-10-27 00:18:45,1.0,0.71,186,90,5.8,1.0,0.5,1.0,12.96,2.5,192.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
2024-10-27 00:15:49,2024-10-27 00:22:06,1.0,0.78,186,161,7.9,1.0,0.5,1.0,12.9,2.5,377.0,40.748497181405014,-73.9924375369761,40.75802804352629,-73.97769793122407
2024-10-27 00:15:59,2024-10-27 00:21:45,1.0,0.5,186,90,6.5,3.5,0.5,1.0,14.4,2.5,346.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
2024-10-27 00:16:43,2024-10-27 00:35:56,2.0,2.76,186,141,19.8,1.0,0.5,1.0,29.76,2.5,1153.0,40.748497181405014,-73.9924375369761,40.76694821638321,-73.95963474149167
2024-10-27 00:16:46,2024-10-27 00:58:04,1.0,5.58,186,189,35.9,1.0,0.5,1.0,49.08,2.5,2478.0,40.748497181405014,-73.9924375369761,40.67763538934729,-73.96758681222951
2024-10-27 00:16:54,2024-10-27 00:36:43,2.0,2.26,186,148,17.7,1.0,0.5,1.0,24.2,2.5,1189.0,40.748497181405014,-73.9924375369761,40.718938359380246,-73.99089626184728
2024-10-27 00:17:30,2024-10-27 00:40:24,1.0,2.29,186,143,20.5,1.0,0.5,1.0,30.6,2.5,1374.0,40.748497181405014,-73.9924375369761,40.77596522876101,-73.98764554944397
2024-10-27 00:17:42,2024-10-27 00:32:24,1.0,1.44,186,79,15.61,0.0,0.5,1.0,21.57,2.5,882.0,40.748497181405014,-73.9924375369761,40.72762019590954,-73.98593745682462
2024-10-27 00:17:55,2024-10-27 00:43:33,1.0,3.9,186,87,21.2,3.5,0.5,1.0,31.4,2.5,1538.0,40.748497181405014,-73.9924375369761,40.70680845166581,-74.00749598562425
2024-10-27 00:17:59,2024-10-27 00:26:55,2.0,1.06,186,162,10.0,1.0,0.5,1.0,18.0,2.5,536.0,40.748497181405014,-73.9924375369761,40.75668765218882,-73.97235594352027
2024-10-27 00:18:10,2024-10-27 00:31:36,4.0,1.29,186,162,12.8,1.0,0.5,1.0,21.36,2.5,806.0,40.748497181405014,-73.9924375369761,40.75668765218882,-73.97235594352027
2024-10-27 00:18:11,2024-10-27 00:37:07,1.0,1.93,186,79,21.32,0.0,0.5,1.0,30.38,2.5,1136.0,40.748497181405014,-73.9924375369761,40.72762019590954,-73.98593745682462
2024-10-27 00:18:13,2024-10-27 00:38:43,1.0,1.59,186,50,18.4,1.0,0.5,1.0,23.4,2.5,1230.0,40.748497181405014,-73.9924375369761,40.76623772504185,-73.99513522075515
2024-10-27 00:18:28,2024-10-27 00:20:59,1.0,0.37,186,90,4.4,1.0,0.5,1.0,14.4,2.5,151.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
2024-10-27 00:18:32,2024-10-27 00:49:04,1.0,3.26,186,238,28.2,1.0,0.5,1.0,41.5,2.5,1832.0,40.748497181405014,-73.9924375369761,40.79170493442707,-73.97304890061592
2024-10-27 00:18:43,2024-10-27 00:34:52,1.0,1.07,186,170,14.2,1.0,0.5,1.0,23.04,2.5,969.0,40.748497181405014,-73.9924375369761,40.7477457936439,-73.97849159965229
2024-10-27 00:19:07,2024-10-27 00:59:36,1.0,10.49,186,197,50.6,1.0,0.5,1.0,62.54,2.5,2429.0,40.748497181405014,-73.9924375369761,40.69454235438128,-73.83092407449993
2024-10-27 00:19:09,2024-10-27 00:34:54,2.0,1.89,186,107,15.6,1.0,0.5,1.0,24.72,2.5,945.0,40.748497181405014,-73.9924375369761,40.73682405761895,-73.9840521326891
2024-10-27 00:19:22,2024-10-27 00:54:10,1.0,3.04,186,236,28.9,1.0,0.5,1.0,40.68,2.5,2088.0,40.748497181405014,-73.9924375369761,40.780436437189955,-73.95701169835736
2024-10-27 00:19:25,2024-10-27 01:01:44,1.0,2.61,186,239,34.5,1.0,0.5,1.0,47.4,2.5,2539.0,40.748497181405014,-73.9924375369761,40.78396143031379,-73.97863194845084
2024-10-27 00:19:48,2024-10-27 00:45:31,1.0,4.03,186,231,26.1,1.0,0.5,1.0,34.1,2.5,1543.0,40.748497181405014,-73.9924375369761,40.717772736265175,-74.00787970866406
2024-10-27 00:19:50,2024-10-27 00:23:16,1.0,0.83,186,90,5.8,1.0,0.5,1.0,12.8,2.5,206.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
2024-10-27 00:20:36,2024-10-27 00:37:49,1.0,1.94,186,237,16.3,1.0,0.5,1.0,25.0,2.5,1033.0,40.748497181405014,-73.9924375369761,40.76861518381157,-73.96563453538069
2024-10-27 00:21:57,2024-10-27 00:27:22,1.0,0.62,186,48,6.5,1.0,0.5,1.0,13.5,2.5,325.0,40.748497181405014,-73.9924375369761,40.76225275531935,-73.98984464313298
2024-10-27 00:22:09,2024-10-27 00:37:10,1.0,1.79,186,249,14.9,1.0,0.5,1.0,20.9,2.5,901.0,40.748497181405014,-73.9924375369761,40.73457600733173,-74.00287495910837
2024-10-27 00:22:49,2024-10-27 00:45:56,1.0,2.69,186,141,21.2,1.0,0.5,1.0,31.44,2.5,1387.0,40.748497181405014,-73.9924375369761,40.76694821638321,-73.95963474149167
2024-10-27 00:23:02,2024-10-27 01:02:01,1.0,8.8,186,95,46.4,1.0,0.5,1.0,58.34,2.5,2339.0,40.748497181405014,-73.9924375369761,40.72143227502132,-73.84766941187516
2024-10-27 00:23:02,2024-10-27 01:02:01,1.0,8.8,186,95,46.4,1.0,0.5,1.0,58.34,2.5,2339.0,40.748497181405014,-73.9924375369761,40.72143227502132,-73.84766941187516
2024-10-27 00:23:21,2024-10-27 00:34:27,1.0,1.63,186,224,12.1,1.0,0.5,1.0,20.52,2.5,666.0,40.748497181405014,-73.9924375369761,40.73182063601678,-73.97659767323344
2024-10-27 00:23:41,2024-10-27 01:00:32,1.0,2.15,186,229,30.3,1.0,0.5,1.0,42.36,2.5,2211.0,40.748497181405014,-73.9924375369761,40.75672894163307,-73.96514579918423
2024-10-27 00:24:13,2024-10-27 00:53:30,1.0,3.98,186,88,26.1,1.0,0.5,1.0,37.32,2.5,1757.0,40.748497181405014,-73.9924375369761,40.70335790323616,-74.01151502922319
2024-10-27 00:24:15,2024-10-27 00:47:59,1.0,5.24,186,87,26.8,1.0,0.5,1.0,38.16,2.5,1424.0,40.748497181405014,-73.9924375369761,40.70680845166581,-74.00749598562425
2024-10-27 00:24:45,2024-10-27 00:49:57,3.0,3.76,186,262,24.0,1.0,0.5,1.0,32.5,2.5,1512.0,40.748497181405014,-73.9924375369761,40.775932403149966,-73.94651035601466
2024-10-27 00:25:38,2024-10-27 01:11:26,1.0,3.14,186,239,38.7,1.0,0.5,1.0,43.7,2.5,2748.0,40.748497181405014,-73.9924375369761,40.78396143031379,-73.97863194845084
2024-10-27 00:26:09,2024-10-27 00:52:29,4.0,2.61,186,239,24.0,1.0,0.5,1.0,31.9,2.5,1580.0,40.748497181405014,-73.9924375369761,40.78396143031379,-73.97863194845084
2024-10-27 00:26:58,2024-10-27 00:47:00,2.0,3.29,186,232,21.2,1.0,0.5,1.0,31.44,2.5,1202.0,40.748497181405014,-73.9924375369761,40.71473250693941,-73.9830245583349
2024-10-27 00:27:14,2024-10-27 00:46:49,1.0,0.67,186,48,17.0,1.0,0.5,1.0,24.0,2.5,1175.0,40.748497181405014,-73.9924375369761,40.76225275531935,-73.98984464313298
2024-10-27 00:27:19,2024-10-27 01:49:05,2.0,4.49,186,148,63.2,1.0,0.5,1.0,68.2,2.5,4906.0,40.748497181405014,-73.9924375369761,40.718938359380246,-73.99089626184728
2024-10-27 00:28:20,2024-10-27 00:50:59,1.0,3.31,186,141,22.6,1.0,0.5,1.0,30.6,2.5,1359.0,40.748497181405014,-73.9924375369761,40.76694821638321,-73.95963474149167
2024-10-27 00:28:26,2024-10-27 00:54:49,1.0,3.1,186,79,23.3,3.5,0.5,1.0,33.95,2.5,1583.0,40.748497181405014,-73.9924375369761,40.72762019590954,-73.98593745682462
2024-10-27 00:30:38,2024-10-27 00:40:36,1.0,0.61,186,170,10.0,1.0,0.5,1.0,17.0,2.5,598.0,40.748497181405014,-73.9924375369761,40.7477457936439,-73.97849159965229
2024-10-27 00:30:53,2024-10-27 00:52:47,1.0,2.6,186,141,19.8,3.5,0.5,1.0,29.75,2.5,1314.0,40.748497181405014,-73.9924375369761,40.76694821638321,-73.95963474149167
2024-10-27 00:31:21,2024-10-27 00:58:06,1.0,4.65,186,255,26.8,1.0,0.5,1.0,46.49,2.5,1605.0,40.748497181405014,-73.9924375369761,40.718803918129936,-73.95741813122196
2024-10-27 00:31:50,2024-10-27 00:51:39,1.0,2.34,186,170,17.7,1.0,0.5,1.0,22.7,2.5,1189.0,40.748497181405014,-73.9924375369761,40.7477457936439,-73.97849159965229
2024-10-27 00:31:50,2024-10-27 00:51:39,1.0,2.34,186,170,17.7,1.0,0.5,1.0,22.7,2.5,1189.0,40.748497181405014,-73.9924375369761,40.7477457936439,-73.97849159965229
2024-10-27 00:32:10,2024-10-27 00:48:32,1.0,2.2,186,79,16.3,1.0,0.5,1.0,21.3,2.5,982.0,40.748497181405014,-73.9924375369761,40.72762019590954,-73.98593745682462
2024-10-27 00:32:19,2024-10-27 01:11:35,1.0,10.91,186,89,50.6,1.0,0.5,1.0,81.3,2.5,2356.0,40.748497181405014,-73.9924375369761,40.63790012347375,-73.96096824906371
2024-10-27 00:32:39,2024-10-27 01:05:28,1.0,3.71,186,236,29.6,1.0,0.5,1.0,37.37,2.5,1969.0,40.748497181405014,-73.9924375369761,40.780436437189955,-73.95701169835736
2024-10-27 00:32:58,2024-10-27 00:49:13,2.0,2.44,186,4,16.3,1.0,0.5,1.0,26.3,2.5,975.0,40.748497181405014,-73.9924375369761,40.72375214158479,-73.97696825691769
